Category,Option 1,Option 2,Daily Range,10,15,20,25,30,35,U
No. 13-A Wood Frame Partitions,R-13,R-8 Sheathing,L,0.4,0.7,0.9,,,,0.05
No. 13-A Wood Frame Partitions,R-13,R-8 Sheathing,M,0.2,0.5,0.7,1,,,0.05
No. 13-A Wood Frame Partitions,R-13,R-8 Sheathing,H,,0.2,0.5,0.7,1,1.2,0.05
No. 13-A Wood Frame Partitions,R-19,"½"" Gypsum Board (R-0.5)",L,0.5,0.8,1.1,,,,0.06
No. 13-A Wood Frame Partitions,R-19,"½"" Gypsum Board (R-0.5)",M,0.3,0.6,0.9,1.2,,,0.06
No. 13-A Wood Frame Partitions,R-19,"½"" Gypsum Board (R-0.5)",H,,0.3,0.6,0.9,1.2,1.5,0.06
No. 13-A Wood Frame Partitions,R-19,"½"" Asphalt Board (R-1.3)",L,0.5,0.8,1,,,,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" Asphalt Board (R-1.3)",M,0.3,0.5,0.8,1.1,,,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" Asphalt Board (R-1.3)",H,,0.3,0.5,0.8,1.1,1.4,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" Bead Board (R-1.8)",L,0.5,0.8,1,,,,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" Bead Board (R-1.8)",M,0.3,0.5,0.8,1.1,,,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" Bead Board (R-1.8)",H,,0.3,0.5,0.8,1.1,1.4,0.055
No. 13-A Wood Frame Partitions,R-19,"½"" or ?"" Extra Poly Board",L,0.4,0.7,0.9,,,,0.05
No. 13-A Wood Frame Partitions,R-19,"½"" or ?"" Extra Poly Board",M,0.2,0.5,0.7,1,,,0.05
No. 13-A Wood Frame Partitions,R-19,"½"" or ?"" Extra Poly Board",H,,0.2,0.5,0.7,1,1.2,0.05
No. 13-A Wood Frame Partitions,R-19,"?"" or 1"" Bead Board",L,0.4,0.7,0.9,,,,0.05
No. 13-A Wood Frame Partitions,R-19,"?"" or 1"" Bead Board",M,0.2,0.5,0.7,1,,,0.05
No. 13-A Wood Frame Partitions,R-19,"?"" or 1"" Bead Board",H,,0.2,0.5,0.7,1,1.2,0.05
No. 13-A Wood Frame Partitions,R-19,"1"" Extra Poly Board (R-5.0)",L,0.4,0.6,0.9,,,,0.045
No. 13-A Wood Frame Partitions,R-19,"1"" Extra Poly Board (R-5.0)",M,0.2,0.4,0.7,0.9,,,0.045
No. 13-A Wood Frame Partitions,R-19,"1"" Extra Poly Board (R-5.0)",H,,0.2,0.4,0.7,0.9,1.1,0.045
No. 13-A Wood Frame Partitions,R-19,R-8 Sheathing,L,0.4,0.6,0.8,,,,0.04
No. 13-A Wood Frame Partitions,R-19,R-8 Sheathing,M,0.2,0.4,0.6,0.8,,,0.04
No. 13-A Wood Frame Partitions,R-19,R-8 Sheathing,H,,0.2,0.4,0.6,0.8,1,0.04
No. 13-B Brick Partitions,"8"" Brick",No Insulation,L,1.3,3.8,6.4,,,,0.51
No. 13-B Brick Partitions,"8"" Brick",No Insulation,M,0,1.8,4.3,6.9,,,0.51
No. 13-B Brick Partitions,"8"" Brick",No Insulation,H,,0,1.8,4.3,6.9,9.4,0.51
No. 13-B Brick Partitions,"8"" Brick",R-5,L,0.4,1.1,1.8,,,,0.144
No. 13-B Brick Partitions,"8"" Brick",R-5,M,0,0.5,1.2,1.9,,,0.144
No. 13-B Brick Partitions,"8"" Brick",R-5,H,,0,5,1.2,1.9,2.7,0.144
No. 13-B Brick Partitions,"8"" Brick",R-11,L,0.2,0.6,1,,,,0.077
No. 13-B Brick Partitions,"8"" Brick",R-11,M,0,0.3,0.7,1,,,0.077
No. 13-B Brick Partitions,"8"" Brick",R-11,H,,0,0.3,0.7,1,1.4,0.077
No. 13-B Brick Partitions,"8"" Brick",R-19,L,0.1,0.4,0.6,,,,0.048
No. 13-B Brick Partitions,"8"" Brick",R-19,M,0,0.2,0.4,0.6,,,0.048
No. 13-B Brick Partitions,"8"" Brick",R-19,H,,0,0.2,0.4,0.6,0.9,0.048
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",No Insulation,L,1,3,5,,,,0.4
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",No Insulation,M,0,1.4,3.4,5.4,,,0.4
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",No Insulation,H,,0,1.4,3.4,5.4,7.4,0.4
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-5,L,0.3,1,1.7,,,,0.133
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-5,M,0,0.5,1.1,1.8,,,0.133
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-5,H,,0,0.5,1.1,1.8,2.5,0.133
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-11,L,0.2,0.6,0.9,,,,0.074
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-11,M,0,0.3,0.6,1,,,0.074
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-11,H,,0,0.3,0.6,1,1.4,0.074
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-19,L,0.1,0.4,0.6,,,,0.047
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-19,M,0,0.2,0.4,0.6,,,0.047
No. 13-B Brick Partitions,"4"" Brick + 8"" Block",R-19,H,,0,0.2,0.4,0.6,0.9,0.047
No. 14 Above-Grade Brick Walls,"8"" Brick",No Insulation,L,5.3,7.8,10.4,,,,0.51
No. 14 Above-Grade Brick Walls,"8"" Brick",No Insulation,M,3.2,5.8,8.3,10.9,,,0.51
No. 14 Above-Grade Brick Walls,"8"" Brick",No Insulation,H,,3.2,5.8,8.3,10.9,13.4,0.51
No. 14 Above-Grade Brick Walls,"8"" Brick",R-5,L,1.5,2.2,2.9,,,,0.144
No. 14 Above-Grade Brick Walls,"8"" Brick",R-5,M,0.9,1.6,2.3,3.1,,,0.144
No. 14 Above-Grade Brick Walls,"8"" Brick",R-5,H,,0.9,1.6,2.3,3.1,3.8,0.144
No. 14 Above-Grade Brick Walls,"8"" Brick",R-11,L,0.8,1.2,1.6,,,,0.077
No. 14 Above-Grade Brick Walls,"8"" Brick",R-11,M,0.5,0.9,1.3,1.6,,,0.077
No. 14 Above-Grade Brick Walls,"8"" Brick",R-11,H,,0.5,0.9,1.3,1.6,2,0.077
No. 14 Above-Grade Brick Walls,"8"" Brick",R-19,L,0.5,0.7,1,,,,0.048
No. 14 Above-Grade Brick Walls,"8"" Brick",R-19,M,0.3,0.5,0.8,1,,,0.048
No. 14 Above-Grade Brick Walls,"8"" Brick",R-19,H,,0.3,0.5,0.8,1,1.3,0.048
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",No Insulation,L,4.1,6.1,8.1,,,,0.4
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",No Insulation,M,2.5,4.5,6.5,8.5,,,0.4
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",No Insulation,H,,2.5,4.5,6.5,8.5,10.5,0.4
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-5,L,1.4,2,2.7,,,,0.133
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-5,M,0.8,1.5,2.2,2.8,,,0.133
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-5,H,,0.8,1.5,2.2,2.8,3.5,0.133
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-11,L,0.8,1.1,1.5,,,,0.074
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-11,M,0.5,0.8,1.2,1.6,,,0.074
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-11,H,,0.5,0.8,1.2,1.6,1.9,0.074
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-19,L,0.5,0.7,1,,,,0.047
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-19,M,0.3,0.5,0.8,1,,,0.047
No. 14 Above-Grade Brick Walls,"4"" Brick + 8"" Block",R-19,H,,0.3,0.5,0.8,1,1.2,0.047
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,No Insulation,L,13.1,15.3,17.5,,,,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,No Insulation,M,11.4,13.5,15.7,17.9,,,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,No Insulation,H,,11.4,13.5,15.7,17.9,20.1,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-7,L,3.4,3.9,4.5,,,,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-7,M,2.9,2.6,4,4.6,,,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-7,H,,2.9,3.5,4,4.6,5.2,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-11,L,2.5,2.9,3.3,,,,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-11,M,2.2,1.6,3,3.4,,,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-11,H,,2.2,2.6,3,3.4,3.8,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-19,L,1.6,1.9,2.1,,,,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-19,M,1.4,1.5,1.9,2.2,,,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-19,H,,1.4,1.6,1.9,2.2,2.4,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-22,L,1.4,1.7,1.9,,,,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-22,M,1.2,1.5,1.7,2,,,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-22,H,,1.2,1.5,1.7,2,2.2,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-26,L,1.1,1.3,1.5,,,,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-26,M,1,1,1.4,1.6,,,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-26,H,,1,1.2,1.4,1.6,1.7,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-30,L,1,1.2,1.3,,,,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-30,M,0.9,0.8,1.2,1.4,,,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-30,H,,0.9,1,1.2,1.4,1.5,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-38,L,0.8,0.9,1,,,,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-38,M,0.7,0.7,0.9,1.1,,,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-38,H,,0.7,0.8,0.9,1.1,1.2,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-44,L,0.7,0.8,0.9,,,,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-44,M,0.6,0.7,0.8,0.9,,,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-44,H,,0.6,0.7,0.8,0.9,1.1,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-57,L,0.5,0.6,0.7,,,,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-57,M,0.4,0.5,0.6,0.7,,,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,R-57,H,,0.4,0.5,0.6,0.7,0.8,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,Wood Decking - No Insulation,L,8.6,10,11.4,,,,0.287
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,Wood Decking - No Insulation,M,7.5,8.9,10.3,11.8,,,0.287
No. 16 Ceilings Under a Ventilated Attic Space,Light-Colored Roof,Wood Decking - No Insulation,H,,7.4,8.9,10.3,11.8,13.2,0.287
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,No Insulation,L,16.6,18.8,21,,,,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,No Insulation,M,14.9,17,19.2,21.4,,,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,No Insulation,H,,14.9,17,19.2,21.4,23.6,0.437
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-7,L,4.3,4.8,5.4,,,,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-7,M,3.8,4.4,4.9,5.5,,,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-7,H,,3.8,4.4,4.9,5.5,6,0.112
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-11,L,3.2,3.6,4,,,,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-11,M,2.8,3.2,3.7,4.1,,,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-11,H,,2.8,3.2,3.7,4.1,4.5,0.083
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-19,L,2,2.3,2.5,,,,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-19,M,1.8,2.1,2.3,2.6,,,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-19,H,,1.8,2.1,2.3,2.6,2.9,0.053
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-22,L,1.8,2.1,2.3,,,,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-22,M,1.6,1.9,2.1,2.4,,,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-22,H,,1.6,1.9,2.1,2.4,2.6,0.048
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-26,L,1.4,1.6,1.8,,,,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-26,M,1.3,1.5,1.7,1.9,,,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-26,H,,1.3,1.5,1.7,1.9,2.1,0.038
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-30,L,1.3,1.4,1.6,,,,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-30,M,1.1,1.3,1.5,1.6,,,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-30,H,,1.1,1.3,1.5,1.6,1.8,0.033
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-38,L,1,1.1,1.2,,,,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-38,M,0.9,1,1.1,1.3,,,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-38,H,,0.9,1,1.1,1.3,1.4,0.026
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-44,L,0.9,1,1.1,,,,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-44,M,0.8,0.9,1,1.1,,,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-44,H,,0.8,0.9,1,1.1,1.2,0.023
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-57,L,0.6,0.7,0.8,,,,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-57,M,0.6,0.7,0.7,0.8,,,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,R-57,H,,0.6,0.7,0.7,0.8,0.9,0.017
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,Wood Decking - No Insulation,L,10.9,12.3,13.8,,,,0.287
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,Wood Decking - No Insulation,M,9.8,11.2,12.6,14,,,0.287
No. 16 Ceilings Under a Ventilated Attic Space,Dark-Colored Roof,Wood Decking - No Insulation,H,,9.8,11.2,12.6,14,15.5,0.287
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - No Insulation",L,8.8,10.3,11.8,,,,0.294
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - No Insulation",M,7.6,9.1,10.6,12.1,,,0.294
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - No Insulation",H,,7.6,9.1,10.6,12.1,13.5,0.294
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-4",L,4.2,4.9,5.6,,,,0.14
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-4",M,3.6,4.3,5,5.7,,,0.14
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-4",H,,3.6,4.3,5,5.7,6.4,0.14
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-5",L,3.6,4.2,4.8,,,,0.119
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-5",M,3.1,3.7,4.3,4.9,,,0.119
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-5",H,,3.1,3.7,4.3,4.9,5.5,0.119
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-6",L,3.2,3.7,4.2,,,,0.106
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-6",M,2.8,3.3,3.8,4.3,,,0.106
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-6",H,,2.8,3.3,3.8,4.3,4.9,0.106
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-8",L,2.6,3.1,3.5,,,,0.088
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-8",M,2.3,2.7,3.2,3.6,,,0.088
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-8",H,,2.3,2.7,3.2,3.6,4,0.088
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Shredded Wood Planks",L,6.2,7.2,8.3,,,,0.207
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Shredded Wood Planks",M,5.4,6.4,7.5,8.5,,,0.207
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Shredded Wood Planks",H,,5.4,6.4,7.5,8.5,9.5,0.207
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Shredded Wood Planks",L,4.6,5.4,6.2,,,,0.154
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Shredded Wood Planks",M,4,4.3,5.5,6.3,,,0.154
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Shredded Wood Planks",H,,4,4.8,5.5,6.3,7.1,0.154
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Fiber Board Insulation",L,5.1,5.9,6.8,,,,0.169
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Fiber Board Insulation",M,4.4,5.2,6.1,6.9,,,0.169
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Fiber Board Insulation",H,,4.4,5.2,6.1,6.9,7.8,0.169
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Fiber Board Insulation",L,4,4.7,5.4,,,,0.135
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Fiber Board Insulation",M,3.5,4.2,4.9,5.5,,,0.135
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"2"" Fiber Board Insulation",H,,3.5,4.2,4.9,5.5,6.2,0.135
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Fiber Board Insulation",L,2.9,3.4,3.9,,,,0.097
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Fiber Board Insulation",M,2.5,3,3.5,4,,,0.097
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"3"" Fiber Board Insulation",H,,2.5,3,3.5,4,4.5,0.097
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-13",L,1.8,2.1,2.4,,,,0.06
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-13",M,1.6,1.9,2.2,2.5,,,0.06
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-13",H,,1.6,1.9,2.2,2.5,2.8,0.06
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-19",L,1.2,1.4,1.6,,,,0.041
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-19",M,1.1,1.3,1.5,1.7,,,0.041
No. 17 Roof on Exposed Beams or Rafters,Light-Colored Roof,"1 ½"" Wood Decking - R-19",H,,1.1,1.3,1.5,1.7,1.9,0.041
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - No Insulation",L,11.2,12.6,14.1,,,,0.294
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - No Insulation",M,10,11.5,12.9,14.4,,,0.294
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - No Insulation",H,,10,11.5,12.9,14.4,15.9,0.294
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-4",L,5.3,6,6.7,,,,0.14
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-4",M,4.8,5.5,6.2,6.9,,,0.14
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-4",H,,4.8,5.5,6.2,6.9,7.6,0.14
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-5",L,4.5,5.1,5.7,,,,0.119
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-5",M,4,4.6,5.2,5.8,,,0.119
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-5",H,,4,4.6,5.2,5.8,6.4,0.119
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-6",L,4,4.6,5.1,,,,0.106
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-6",M,3.6,4.1,4.7,5.2,,,0.106
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-6",H,,3.6,4.1,4.7,5.2,5.7,0.106
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-8",L,3.3,3.8,4.2,,,,0.088
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-8",M,3,3.4,3.9,4.3,,,0.088
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-8",H,,3,3.4,3.9,4.3,4.8,0.088
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Shredded Wood Planks",L,7.9,8.9,9.9,,,,0.207
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Shredded Wood Planks",M,7,8.1,9.1,10.1,,,0.207
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Shredded Wood Planks",H,,7,8.1,9.1,10.1,11.2,0.207
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Shredded Wood Planks",L,5.9,6.6,7.4,,,,0.154
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Shredded Wood Planks",M,5.2,6,6.8,7.5,,,0.154
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Shredded Wood Planks",H,,5.2,6,6.8,7.5,8.3,0.154
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Fiber Board Insulation",L,6.4,7.3,8.1,,,,0.169
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Fiber Board Insulation",M,5.7,6.6,7.4,8.3,,,0.169
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Fiber Board Insulation",H,,5.7,6.6,7.4,8.3,9.1,0.169
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Fiber Board Insulation",L,5.1,5.8,6.5,,,,0.136
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Fiber Board Insulation",M,4.6,5.3,5.9,6.6,,,0.136
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"2"" Fiber Board Insulation",H,,4.6,5.3,5.9,6.6,7.3,0.136
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Fiber Board Insulation",L,3.7,4.2,4.7,,,,0.097
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Fiber Board Insulation",M,3.3,3.8,4.3,4.8,,,0.097
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"3"" Fiber Board Insulation",H,,3.3,3.8,4.3,4.8,5.2,0.097
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-13",L,1.6,1.8,2,,,,0.06
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-13",M,1.4,1.6,1.8,2,,,0.06
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-13",H,,1.4,1.6,1.8,2,2.2,0.06
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-19",L,2.3,2.6,2.9,,,,0.041
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-19",M,2,2.3,2.6,2.9,,,0.041
No. 17 Roof on Exposed Beams or Rafters,Dark-Colored Roof,"1 ½"" Wood Decking - R-19",H,,2,2.3,2.6,2.9,3.2,0.041
No. 18 Roof-Ceiling Combination,Light-Colored Roof,No Insulation,L,8.6,10,11.5,,,,0.287
No. 18 Roof-Ceiling Combination,Light-Colored Roof,No Insulation,M,7.5,8.9,10.3,11.8,,,0.287
No. 18 Roof-Ceiling Combination,Light-Colored Roof,No Insulation,H,,7.5,8.9,10.3,11.8,13.2,0.287
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-11 Batts,L,2.2,2.5,2.9,,,,0.072
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-11 Batts,M,1.9,2.2,2.6,3,,,0.072
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-11 Batts,H,,1.9,2.2,2.6,3,3.3,0.072
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-19 Batts,L,1.5,1.7,2,,,,0.049
No. 18 Roof-Ceiling Combination,Light-Colored Roof,R-19 Batts,M,1.3,1.5,1.8,2,,,0.049
